test_group,case_count,mode_recommended_capacity_mwh,min_recommended_capacity_mwh,max_recommended_capacity_mwh,capacity_values,positive_grid_advantage_rate,zero_unserved_rate,mean_grid_cost_advantage_yuan_per_ton,min_grid_cost_advantage_yuan_per_ton,max_grid_cost_advantage_yuan_per_ton,mean_production_gain_per_100yuan,mean_curtailment_reduction_per_100yuan
random_re_5pct,3,20.0,20.0,20.0,20,1.0,1.0,781.6858852413534,775.040728600362,790.0362482487053,449.6395392552697,7143.568040165862
random_re_10pct,3,20.0,20.0,20.0,20,1.0,1.0,781.7996898179412,756.9048917851787,803.3370295656823,435.23658113373403,6906.928998887583
random_load_5pct,3,20.0,20.0,20.0,20,1.0,1.0,779.9167765691535,778.9843256748604,780.659931336832,438.4296897543589,6951.3866657208555
random_re10_load5,3,20.0,20.0,20.0,20,1.0,1.0,776.8459316472781,775.5510471462762,777.7649442262227,430.04528471219675,6828.327750006073
leave_one_out,24,20.0,20.0,20.0,20,1.0,1.0,779.9211794232278,728.0884197024093,811.0570937879252,440.22096814587877,6982.491201165521
stress_test,4,20.0,20.0,20.0,20,1.0,1.0,751.2824439357815,610.9877521034459,951.9487735235111,529.0340046276195,8364.760496799881
