mode,scenario_count,annual_days,annual_total_cost_yuan,annual_total_production_ton,annual_avg_ton_cost_yuan_per_ton,annual_capacity_utilization_rate,annual_total_curtailment_mwh,annual_total_unserved_load_mwh,annual_total_renewable_generation_mwh,annual_total_load_mwh,annual_renewable_utilization_ratio,annual_energy_self_sufficiency_ratio,mean_daily_production_ton,mean_ton_cost_yuan_per_ton,mean_curtailment_mwh,mean_unserved_load_mwh,mean_renewable_utilization_ratio,mean_energy_self_sufficiency_ratio,mean_storage_charge_mwh,mean_storage_discharge_mwh,all_satisfied_days,partially_satisfied_days,none_satisfied_days,storage_capacity_mwh,cost_increase_yuan_per_ton,production_gain_ton,capacity_utilization_gain,curtailment_reduction_mwh,unserved_reduction_mwh,renewable_utilization_gain,production_gain_per_100yuan,curtailment_reduction_per_100yuan,utilization_gain_pp_per_100yuan,renewable_utilization_gain_pp_per_100yuan,marginal_production_gain_ton,marginal_curtailment_reduction_mwh,marginal_cost_increase_yuan_per_ton,marginal_production_gain_per_100yuan,marginal_curtailment_reduction_per_100yuan,is_recommended_by_composite,is_recommended_by_unit_benefit,recommendation_rule
offgrid_with_storage,24,360,40877061.2200482,9781.55739759036,4178.993135604159,0.37737489959839354,14188.668000000005,8.291999999999993,171351.12,157170.74399999998,0.9171953588631343,0.9999472420897875,27.170992771084332,4315.646772943976,39.412966666666684,0.023033333333333312,0.9367595563462375,0.9999098558623166,0.0,0.0,360,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,False,False,max production gain per 100 yuan/t among zero-unserved candidates; curtailment reduction used as tie-breaker
offgrid_with_storage,24,360,42744503.4231728,10070.013203574505,4244.7316164391905,0.3885035958169176,9613.573463897736,0.0,171351.12,161161.049316114,0.9438954734354946,1.0,27.97225889881807,4376.6449855369465,26.704370733049263,0.0,0.9658796090447702,1.0,8.170237436796207,6.568856270162101,360,0,0,20.0,65.73848083503162,288.4558059841438,0.011128696218524081,4575.09453610227,8.291999999999993,0.026700114572360323,438.79292968149565,6959.537972262101,1.692873957104538,4.061565499112051,288.4558059841438,4575.09453610227,65.73848083503162,438.79292968149565,6959.537972262101,True,True,max production gain per 100 yuan/t among zero-unserved candidates; curtailment reduction used as tie-breaker
offgrid_with_storage,24,360,44308359.59499088,10186.532132964461,4349.700076202122,0.3929989248828882,7604.6082632497855,0.0,171351.12,162772.89450600836,0.9556197341269214,1.0,28.295922591567955,4525.877684855633,21.123911842360517,0.0,0.973198289197037,1.0,13.750696327484958,11.046204019868767,360,0,0,40.0,170.70694059796278,404.9747353741004,0.015624025284494636,6584.05973675022,8.291999999999993,0.03842437526378706,237.23390153647532,3856.93734167291,0.9152542497549214,2.2508970712726613,116.51892938995661,2008.96520064795,104.96845976293116,111.00375260636568,1913.875087035812,False,False,max production gain per 100 yuan/t among zero-unserved candidates; curtailment reduction used as tie-breaker
offgrid_with_storage,24,360,45871987.16350898,10302.901415943074,4452.336804128306,0.39748848055335934,5591.47725071018,0.0,171351.12,164382.6695872125,0.9673683063716759,1.0,28.61917059984187,4674.844939296169,15.53188125197272,0.0,0.9805323364779405,1.0,19.342726917872753,15.517801467658012,360,0,0,60.0,273.3436685241468,521.3440183527127,0.020113580954965793,8597.190749289824,8.291999999999993,0.05017294750854162,190.72840471029895,3145.1947636864184,0.7358348947156603,1.8355262362372744,116.36928297861232,2013.1310125396058,102.636727926184,113.37976699949431,1961.4138654024935,False,False,max production gain per 100 yuan/t among zero-unserved candidates; curtailment reduction used as tie-breaker
offgrid_with_storage,24,360,47435430.79152479,10419.141642730641,4552.719640261359,0.40197305720411425,3573.432740296722,0.0,171351.12,165990.6593911072,0.9791455536427381,1.0,28.94206011869623,4823.567078374999,9.926202056379784,0.0,0.9878846357867515,1.0,24.94840611346569,19.984439811809946,360,0,0,80.0,373.72650465720017,637.5842451402805,0.024598157605720705,10615.235259703284,8.291999999999993,0.06195019477960384,170.60182705668768,2840.3752817692407,0.6581860611754928,1.6576345002992905,116.24022678756774,2018.0445104134578,100.38283613305339,115.79691435844273,2010.3481712138732,False,False,max production gain per 100 yuan/t among zero-unserved candidates; curtailment reduction used as tie-breaker
offgrid_with_storage,24,360,48924866.39414947,10497.9808458498,4660.407283319734,0.4050146931269213,2201.5658944816737,0.0,171351.12,167081.26836758887,0.9871517274326443,1.0,29.161057905138325,4977.1598998084255,6.1154608180046495,0.0,0.9926163427894773,1.0,28.759147351840827,23.01390919092569,360,0,0,100.0,481.4141477155754,716.4234482594384,0.027639793528527745,11987.102105518332,8.291999999999993,0.06995636856951004,148.8164507958559,2489.9771147981382,0.5741375416506793,1.4531431803878145,78.8392031191579,1371.8668458150482,107.68764305837522,73.21100256268105,1273.93153648222,False,False,max production gain per 100 yuan/t among zero-unserved candidates; curtailment reduction used as tie-breaker
offgrid_with_storage,24,360,50397703.688685626,10568.41363866554,4768.710367684784,0.4077320076645656,971.3321567226343,0.0,171351.12,168055.5886682066,0.9943313346494459,1.0,29.35670455184872,5131.679439111698,2.698144879785095,0.0,0.9968347580020077,1.0,32.176463290060376,25.72035447041941,360,0,0,120.0,589.7172320806249,786.8562410751783,0.030357108066172034,13217.335843277371,8.291999999999993,0.0771359757863116,133.42941299154728,2241.3005970071986,0.5147739698747971,1.3080163100230675,70.43279281573996,1230.2337377590393,108.30308436504947,65.03304428370403,1135.9175456281357,False,False,max production gain per 100 yuan/t among zero-unserved candidates; curtailment reduction used as tie-breaker
offgrid_with_storage,24,360,51809403.887908295,10607.971135686948,4884.006868534266,0.40925814566693475,278.7295298547772,0.0,171351.12,168602.8007103361,0.9983733428187993,1.0,29.4665864880193,5290.079425895863,0.7742486940410478,0.0,0.999111537538516,1.0,34.100359475804424,27.240387920779124,360,0,0,140.0,705.0137329301069,826.4137380965876,0.031883246068541204,13909.938470145227,8.291999999999993,0.081177983955665,117.2195234640225,1973.0024849777244,0.4522358158334204,1.1514383360772456,39.55749702140929,692.6026268678571,115.29650084948207,34.309364750844466,600.7143510556664,False,False,max production gain per 100 yuan/t among zero-unserved candidates; curtailment reduction used as tie-breaker
offgrid_with_storage,24,360,53174178.47981113,10623.837117564552,5005.1763681407965,0.40987025916529907,0.0,0.0,171351.12,168822.2801263096,1.0,1.0,29.510658659901527,5451.357179059466,0.0,0.0,1.0,1.0,34.87460816984548,27.850052965149985,360,0,0,160.0,826.1832325366377,842.2797199741908,0.032495359566905524,14188.668000000005,8.291999999999993,0.0828046411368657,101.94829510012347,1717.3754490800318,0.39331903973813087,1.002255164179862,15.86598187760319,278.7295298547772,121.16949960653074,13.094039283090389,230.0327481419708,False,False,max production gain per 100 yuan/t among zero-unserved candidates; curtailment reduction used as tie-breaker
offgrid_with_storage,24,360,54507511.813144475,10623.837117564552,5130.680300343308,0.40987025916529907,0.0,0.0,171351.12,168822.2801263096,1.0,1.0,29.510658659901527,5614.48858016068,0.0,0.0,1.0,1.0,34.87460816984547,27.850052965149985,360,0,0,180.0,951.687164739149,842.2797199741908,0.032495359566905524,14188.668000000005,8.291999999999993,0.0828046411368657,88.50384361388902,1490.8962236439347,0.3414500139424732,0.8700825670961096,0.0,-0.0,125.50393220251135,0.0,-0.0,False,False,max production gain per 100 yuan/t among zero-unserved candidates; curtailment reduction used as tie-breaker
