mode,scenario_count,annual_days,annual_total_cost_yuan,annual_total_production_ton,annual_avg_ton_cost_yuan_per_ton,annual_capacity_utilization_rate,annual_total_curtailment_mwh,annual_total_unserved_load_mwh,annual_total_renewable_generation_mwh,annual_total_load_mwh,annual_renewable_utilization_ratio,annual_energy_self_sufficiency_ratio,mean_daily_production_ton,mean_ton_cost_yuan_per_ton,mean_curtailment_mwh,mean_unserved_load_mwh,mean_renewable_utilization_ratio,mean_energy_self_sufficiency_ratio,mean_storage_charge_mwh,mean_storage_discharge_mwh,all_satisfied_days,partially_satisfied_days,none_satisfied_days,storage_capacity_mwh,cost_increase_yuan_per_ton,production_gain_ton,curtailment_reduction_mwh,capacity_utilization_gain,production_gain_per_100yuan,curtailment_reduction_per_100yuan,utilization_gain_pp_per_100yuan
offgrid_with_storage,23,360.0,40898397.058950245,9758.232339444734,4191.168608850469,0.3764750130958617,14805.566608695659,8.652521739130428,171644.9947826087,156848.08069565214,0.9137430915043742,0.9999448350167834,27.106200942902042,4333.103132541667,41.126573913043494,0.02403478260869563,0.9340099718395523,0.9999059365519826,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
offgrid_with_storage,23,360.0,42789061.38684838,10059.229702210798,4253.711531952023,0.3880875656717129,10031.55491884981,0.0,171644.9947826087,161011.8775472494,0.9415563795987472,1.0,27.942304728363332,4391.135024494264,27.865430330138363,0.0,0.9643961137858471,1.0,8.52546515143952,6.854458716690886,360.0,0.0,0.0,20.0,62.54292310155324,300.9973627660638,4774.011689845849,0.011612552575851198,481.26526206222144,7633.1764700126205,1.856733264128936
offgrid_with_storage,23,360.0,44362940.29077449,10180.814672009014,4357.50396407326,0.39277834382750826,7935.243405130211,0.0,171644.9947826087,162693.80296279135,0.9537694448056565,1.0,28.280040755580593,4541.2376852041325,22.042342792028364,0.0,0.9720329974229951,1.0,14.348552689549521,11.526473759863062,360.0,0.0,0.0,40.0,166.3353552227909,422.58233256427957,6870.323203565448,0.01630333073164658,254.0544263715128,4130.4046240579955,0.9801482498900952
offgrid_with_storage,23,360.0,45936580.65212671,10302.243489030174,4458.890988262893,0.39746309757060855,5834.584957262796,0.0,171644.9947826087,164373.5682649174,0.9660078351562048,1.0,28.617343025083816,4691.063359954192,16.2071804368411,0.0,0.9796859163248075,1.0,20.183715044736786,16.19248848799097,360.0,0.0,0.0,60.0,267.72237941242383,544.0111495854399,8970.981651432863,0.02098808447474687,203.1997290549236,3350.8523535169797,0.7839495719711546
offgrid_with_storage,23,360.0,47510029.0755635,10423.537638721547,4557.956302577388,0.4021426558148745,3728.799381179188,0.0,171644.9947826087,166051.47066898146,0.9782760960440369,1.0,28.954271218670975,4840.6332621529045,10.357776058831078,0.0,0.987357880820958,1.0,26.03311942274681,20.853328499279943,360.0,0.0,0.0,80.0,366.7876937269184,665.3052992768135,11076.767227516471,0.02566764271901284,181.3870286968101,3019.9397136162834,0.6997956354043592
