mode,scenario_count,annual_days,annual_total_cost_yuan,annual_total_production_ton,annual_avg_ton_cost_yuan_per_ton,annual_capacity_utilization_rate,annual_total_curtailment_mwh,annual_total_unserved_load_mwh,annual_total_renewable_generation_mwh,annual_total_load_mwh,annual_renewable_utilization_ratio,annual_energy_self_sufficiency_ratio,mean_daily_production_ton,mean_ton_cost_yuan_per_ton,mean_curtailment_mwh,mean_unserved_load_mwh,mean_renewable_utilization_ratio,mean_energy_self_sufficiency_ratio,mean_storage_charge_mwh,mean_storage_discharge_mwh,all_satisfied_days,partially_satisfied_days,none_satisfied_days,storage_capacity_mwh,cost_increase_yuan_per_ton,production_gain_ton,curtailment_reduction_mwh,capacity_utilization_gain,production_gain_per_100yuan,curtailment_reduction_per_100yuan,utilization_gain_pp_per_100yuan
offgrid_with_storage,24,360.0,40878816.230361246,9782.609772353338,4178.722976959481,0.37741550047659483,14205.57180599091,6.286515128976156,171351.12,157151.83470913803,0.9170967087580699,0.999959997189084,27.17391603431483,4315.8754141627605,39.45992168330809,0.017462542024933764,0.9367401731386608,0.9999165383797148,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
offgrid_with_storage,24,360.0,42746584.39123342,10071.309930633439,4244.3917112721465,0.3885536238670308,9630.05300511293,0.0,171351.12,161145.5202320128,0.9437992993269438,1.0,27.975860918426218,4376.974793970847,26.750147236424805,0.0,0.9658199237659026,1.0,8.157592297564555,6.558851289580432,360.0,0.0,0.0,20.0,65.66873431266595,288.70015828010037,4575.5188008779805,0.011138123390435961,439.63106842523223,6967.575740218693,1.6961075170726536
offgrid_with_storage,24,360.0,44310439.16624361,10187.828252953766,4349.350820023556,0.3930489295121052,7621.117848478065,0.0,171351.12,162757.35702411068,0.9555233846824108,1.0,28.299522924871578,4526.2725269864795,21.169771801327958,0.0,0.9731384881908909,1.0,13.737967732661312,11.036175712074572,360.0,0.0,0.0,40.0,170.62784306407502,405.21848060042794,6584.453957512846,0.01563342903551035,237.48672744357336,3858.9563340141494,0.9162296583471202
offgrid_with_storage,24,360.0,45874066.000617474,10304.197271264027,4451.9786251132255,0.397538474971606,5608.012451258095,0.0,171351.12,164367.12844406924,0.9672718074369279,1.0,28.622770197955628,4675.304740253237,15.57781236460582,0.0,0.9804724364016089,1.0,19.32992716938354,15.50776298973728,360.0,0.0,0.0,60.0,273.2556481537449,521.5874989106887,8597.559354732815,0.02012297449501116,190.8789452056347,3146.342779306605,0.7364156836637148
offgrid_with_storage,24,360.0,47437507.56953984,10420.436614743983,4552.353161711096,0.40202301754413516,3590.0143248353143,0.0,171351.12,165975.1060288753,0.9790487840124107,1.0,28.945657263177726,4824.091898254432,9.97226201343143,0.0,0.9878245571876002,1.0,24.935477520557935,19.974367391976358,360.0,0.0,0.0,80.0,373.63018475161516,637.8268423906447,10615.557481155596,0.02460751706754033,170.71073709279253,2841.1937563911465,0.6586062387839224
