scenario_id,wind_scenario,pv_scenario,hour,time,base_load_mw,wind_power_mw,pv_power_mw,renewable_power_mw,power_ratio,on_status,alk_power_mw,pem_power_mw,ammonia_power_mw,hydrogen_ammonia_load_mw,total_load_mw,curtailment_mw,unserved_load_mw,storage_charge_mw,storage_discharge_mw,soc_mwh,hourly_ammonia_output_ton,wind_generation_cost_yuan,pv_generation_cost_yuan,alk_om_cost_yuan,pem_om_cost_yuan,ammonia_om_cost_yuan,storage_om_cost_yuan,hourly_net_cost_yuan
W4_PV3,风电场景4,光伏场景3,22,22:00-23:00,1.56,6.151999999999999,0.0,6.151999999999999,0.11065060240963852,1,2.21301204819277,2.21301204819277,0.16597590361445777,4.591999999999999,6.151999999999999,0.0,0.0,0.0,0.0,0.0,0.33195180722891554,922.7999999999998,0.0,221.30120481927702,331.9518072289155,0.33195180722891554,0.0,1476.3849638554216
W4_PV3,风电场景4,光伏场景3,23,23:00-24:00,1.4802,8.464,0.0,8.464,0.1682843373493976,1,3.365686746987952,3.365686746987952,0.2524265060240964,6.9838000000000005,8.464,0.0,0.0,0.0,0.0,0.0,0.5048530120481928,1269.6,0.0,336.56867469879523,504.8530120481928,0.5048530120481928,0.0,2111.526539759036
W4_PV4,风电场景4,光伏场景4,0,0:00-1:00,1.3698000000000001,13.495999999999999,0.0,13.495999999999999,0.29219759036144577,1,5.843951807228915,5.843951807228915,0.43829638554216865,12.126199999999999,13.495999999999999,0.0,0.0,0.0,0.0,0.0,0.8765927710843373,2024.3999999999996,0.0,584.3951807228916,876.5927710843373,0.8765927710843373,0.0,3486.2645445783123
W4_PV4,风电场景4,光伏场景4,1,1:00-2:00,1.0997999999999999,14.084000000000001,0.0,14.084000000000001,0.3128722891566265,1,6.25744578313253,6.25744578313253,0.4693084337349398,12.9842,14.084,0.0,0.0,0.0,0.0,0.0,0.9386168674698796,2112.6000000000004,0.0,625.744578313253,938.6168674698795,0.9386168674698796,0.0,3677.900062650603
W4_PV4,风电场景4,光伏场景4,2,2:00-3:00,0.7998000000000001,13.091999999999999,0.0,13.091999999999999,0.2961975903614458,1,5.9239518072289155,5.9239518072289155,0.44429638554216866,12.2922,13.091999999999999,0.0,0.0,0.0,0.0,0.0,0.8885927710843373,1963.7999999999997,0.0,592.3951807228916,888.5927710843373,0.8885927710843373,0.0,3445.676544578313
W4_PV4,风电场景4,光伏场景4,3,3:00-4:00,0.99,20.168,0.0,20.168,0.4621204819277109,1,9.242409638554218,9.242409638554218,0.6931807228915663,19.178,20.168,0.0,0.0,0.0,0.0,0.0,1.3863614457831326,3025.2,0.0,924.2409638554218,1386.3614457831327,1.3863614457831328,0.0,5337.1887710843375
W4_PV4,风电场景4,光伏场景4,4,4:00-5:00,1.1802000000000001,19.276,0.0,19.276,0.4360433734939759,1,8.720867469879519,8.720867469879519,0.6540650602409639,18.0958,19.276,0.0,0.0,0.0,0.0,0.0,1.3081301204819278,2891.4,0.0,872.0867469879519,1308.1301204819276,1.3081301204819278,0.0,5072.924997590361
W4_PV4,风电场景4,光伏场景4,5,5:00-6:00,1.6301999999999999,23.08,0.0,23.08,0.5168626506024097,1,10.337253012048194,10.337253012048194,0.7752939759036145,21.4498,23.08,0.0,0.0,0.0,0.0,0.0,1.550587951807229,3462.0,0.0,1033.7253012048193,1550.587951807229,1.550587951807229,0.0,6047.863840963855
W4_PV4,风电场景4,光伏场景4,6,6:00-7:00,2.5002,28.355999999999998,0.0,28.355999999999998,0.6230313253012048,1,12.460626506024095,12.460626506024095,0.9345469879518071,25.8558,28.355999999999998,0.0,0.0,0.0,0.0,0.0,1.8690939759036143,4253.4,0.0,1246.0626506024096,1869.0939759036141,1.8690939759036145,0.0,7370.425720481926
W4_PV4,风电场景4,光伏场景4,7,7:00-8:00,3.3701999999999996,26.36,0.0,26.36,0.5539710843373493,1,11.079421686746986,11.079421686746986,0.830956626506024,22.989799999999995,26.359999999999996,0.0,0.0,0.0,0.0,0.0,1.661913253012048,3954.0,0.0,1107.9421686746987,1661.9132530120478,1.661913253012048,0.0,6725.517334939759
W4_PV4,风电场景4,光伏场景4,8,8:00-9:00,4.0098,25.076,0.0,25.076,0.5076192771084338,1,10.152385542168677,10.152385542168677,0.7614289156626507,21.066200000000002,25.076,0.0,0.0,0.0,0.0,0.0,1.5228578313253014,3761.3999999999996,0.0,1015.2385542168677,1522.8578313253015,1.5228578313253016,0.0,6301.019243373494
W4_PV4,风电场景4,光伏场景4,9,9:00-10:00,4.199999999999999,22.112,0.0,22.112,0.4316144578313253,1,8.632289156626506,8.632289156626506,0.647421686746988,17.912,22.112,0.0,0.0,0.0,0.0,0.0,1.294843373493976,3316.7999999999997,0.0,863.2289156626507,1294.8433734939758,1.294843373493976,0.0,5476.16713253012
W4_PV4,风电场景4,光伏场景4,10,10:00-11:00,4.1202,8.995999999999999,0.0,8.995999999999999,0.117489156626506,1,2.3497831325301197,2.3497831325301197,0.176233734939759,4.875799999999999,8.995999999999999,0.0,0.0,0.0,0.0,0.0,0.352467469879518,1349.3999999999996,0.0,234.978313253012,352.467469879518,0.352467469879518,0.0,1937.198250602409
W4_PV4,风电场景4,光伏场景4,11,11:00-12:00,3.9000000000000004,7.652,1.28,8.932,0.12125301204819278,1,2.4250602409638553,2.4250602409638553,0.18187951807228916,5.032,8.932,0.0,0.0,0.0,0.0,0.0,0.36375903614457833,1147.8,153.6,242.50602409638554,363.7590361445783,0.36375903614457833,0.0,1908.0288192771081
W4_PV4,风电场景4,光伏场景4,12,12:00-13:00,3.2598000000000003,10.815999999999999,5.12,15.936,0.30545060240963856,1,6.109012048192771,6.109012048192771,0.4581759036144578,12.6762,15.936,0.0,0.0,0.0,0.0,0.0,0.9163518072289156,1622.3999999999996,614.4,610.9012048192772,916.3518072289157,0.9163518072289156,0.0,3764.9693638554213
W4_PV4,风电场景4,光伏场景4,13,13:00-14:00,2.6898,10.952,7.68,18.631999999999998,0.3841493975903614,1,7.6829879518072275,7.6829879518072275,0.5762240963855421,15.942199999999996,18.631999999999998,0.0,0.0,0.0,0.0,0.0,1.1524481927710841,1642.8,921.5999999999999,768.2987951807228,1152.448192771084,1.1524481927710843,0.0,4486.299436144577
W4_PV4,风电场景4,光伏场景4,14,14:00-15:00,3.63,15.152000000000001,5.12,20.272000000000002,0.40101204819277114,1,8.020240963855423,8.020240963855423,0.6015180722891567,16.642000000000003,20.272000000000002,0.0,0.0,0.0,0.0,0.0,1.2030361445783133,2272.8,614.4,802.0240963855424,1203.0361445783135,1.2030361445783133,0.0,4893.463277108435
W4_PV4,风电场景4,光伏场景4,15,15:00-16:00,3.8202000000000003,21.66,1.28,22.94,0.4607180722891567,1,9.214361445783133,9.214361445783133,0.691077108433735,19.1198,22.94,0.0,0.0,0.0,0.0,0.0,1.38215421686747,3249.0,153.6,921.4361445783134,1382.15421686747,1.38215421686747,0.0,5707.5725156626495
W4_PV4,风电场景4,光伏场景4,16,16:00-17:00,3.75,17.16,0.0,17.16,0.32313253012048193,1,6.462650602409639,6.462650602409639,0.4846987951807229,13.41,17.16,0.0,0.0,0.0,0.0,0.0,0.9693975903614458,2574.0,0.0,646.265060240964,969.3975903614457,0.9693975903614458,0.0,4190.6320481927705
W4_PV4,风电场景4,光伏场景4,17,17:00-18:00,3.1398,16.612000000000002,0.0,16.612000000000002,0.32463132530120486,1,6.492626506024097,6.492626506024097,0.4869469879518073,13.472200000000003,16.612000000000002,0.0,0.0,0.0,0.0,0.0,0.9738939759036146,2491.8000000000006,0.0,649.2626506024097,973.8939759036144,0.9738939759036146,0.0,4115.930520481928
W4_PV4,风电场景4,光伏场景4,18,18:00-19:00,2.61,15.328,0.0,15.328,0.3064578313253012,1,6.129156626506024,6.129156626506024,0.45968674698795176,12.718,15.328,0.0,0.0,0.0,0.0,0.0,0.9193734939759035,2299.2,0.0,612.9156626506024,919.3734939759036,0.9193734939759036,0.0,3832.408530120482
W4_PV4,风电场景4,光伏场景4,19,19:00-20:00,2.1198,9.416,0.0,9.416,0.1758120481927711,1,3.516240963855422,3.516240963855422,0.26371807228915667,7.296200000000001,9.416,0.0,0.0,0.0,0.0,0.0,0.5274361445783133,1412.3999999999999,0.0,351.6240963855422,527.4361445783132,0.5274361445783133,0.0,2291.9876771084337
W4_PV4,风电场景4,光伏场景4,20,20:00-21:00,1.8599999999999999,8.808,0.0,8.808,0.16742168674698796,1,3.3484337349397593,3.3484337349397593,0.2511325301204819,6.948,8.808,0.0,0.0,0.0,0.0,0.0,0.5022650602409638,1321.2,0.0,334.84337349397595,502.26506024096386,0.5022650602409638,0.0,2158.810698795181
W4_PV4,风电场景4,光伏场景4,21,21:00-22:00,1.6301999999999999,5.215999999999999,0.0,5.215999999999999,0.0,0,0.0,0.0,0.0,0.0,1.6301999999999999,3.5857999999999994,0.0,0.0,0.0,0.0,0.0,782.3999999999999,0.0,0.0,0.0,0.0,0.0,782.3999999999999
W4_PV4,风电场景4,光伏场景4,22,22:00-23:00,1.56,6.151999999999999,0.0,6.151999999999999,0.11065060240963852,1,2.21301204819277,2.21301204819277,0.16597590361445777,4.591999999999999,6.151999999999999,0.0,0.0,0.0,0.0,0.0,0.33195180722891554,922.7999999999998,0.0,221.30120481927702,331.9518072289155,0.33195180722891554,0.0,1476.3849638554216
W4_PV4,风电场景4,光伏场景4,23,23:00-24:00,1.4802,8.464,0.0,8.464,0.1682843373493976,1,3.365686746987952,3.365686746987952,0.2524265060240964,6.9838000000000005,8.464,0.0,0.0,0.0,0.0,0.0,0.5048530120481928,1269.6,0.0,336.56867469879523,504.8530120481928,0.5048530120481928,0.0,2111.526539759036
W5_PV1,风电场景5,光伏场景1,0,0:00-1:00,1.3698000000000001,9.776,0.0,9.776,0.20255903614457832,1,4.051180722891567,4.051180722891567,0.30383855421686745,8.4062,9.776,0.0,0.0,0.0,0.0,0.0,0.6076771084337349,1466.3999999999999,0.0,405.1180722891567,607.677108433735,0.6076771084337349,0.0,2479.802857831325
W5_PV1,风电场景5,光伏场景1,1,1:00-2:00,1.0997999999999999,13.5,0.0,13.5,0.2988,1,5.976,5.976,0.44820000000000004,12.4002,13.5,0.0,0.0,0.0,0.0,0.0,0.8964000000000001,2025.0,0.0,597.6,896.4,0.8964000000000001,0.0,3519.8964
W5_PV1,风电场景5,光伏场景1,2,2:00-3:00,0.7998000000000001,15.392,0.0,15.392,0.3516192771084337,1,7.032385542168674,7.032385542168674,0.5274289156626506,14.592199999999998,15.391999999999998,0.0,0.0,0.0,0.0,0.0,1.0548578313253012,2308.7999999999997,0.0,703.2385542168674,1054.857831325301,1.0548578313253012,0.0,4067.951243373493
W5_PV1,风电场景5,光伏场景1,3,3:00-4:00,0.99,13.312,0.0,13.312,0.2969156626506024,1,5.938313253012048,5.938313253012048,0.44537349397590353,12.322,13.312,0.0,0.0,0.0,0.0,0.0,0.8907469879518071,1996.8,0.0,593.8313253012047,890.7469879518071,0.8907469879518072,0.0,3482.269060240964
W5_PV1,风电场景5,光伏场景1,4,4:00-5:00,1.1802000000000001,15.144,0.0,15.144,0.3364771084337349,1,6.729542168674698,6.729542168674698,0.5047156626506024,13.963799999999999,15.143999999999998,0.0,0.0,0.0,0.0,0.0,1.0094313253012048,2271.6,0.0,672.9542168674698,1009.4313253012047,1.0094313253012048,0.0,3954.9949734939755
W5_PV1,风电场景5,光伏场景1,5,5:00-6:00,1.6301999999999999,14.315999999999999,0.0,14.315999999999999,0.30568192771084335,1,6.113638554216867,6.113638554216867,0.458522891566265,12.685799999999999,14.315999999999999,0.0,0.0,0.0,0.0,0.0,0.91704578313253,2147.3999999999996,0.0,611.3638554216867,917.0457831325301,0.91704578313253,0.0,3676.726684337349
W5_PV1,风电场景5,光伏场景1,6,6:00-7:00,2.5002,17.852,14.08,31.932000000000002,0.7092,1,14.184000000000001,14.184000000000001,1.0638,29.431800000000003,31.932000000000002,0.0,0.0,0.0,0.0,0.0,2.1276,2677.7999999999997,1689.6,1418.4000000000003,2127.6000000000004,2.1276000000000006,0.0,7915.5276
W5_PV1,风电场景5,光伏场景1,7,7:00-8:00,3.3701999999999996,9.628,25.6,35.228,0.7676578313253012,1,15.353156626506024,15.353156626506024,1.1514867469879517,31.8578,35.228,0.0,0.0,0.0,0.0,0.0,2.3029734939759035,1444.2,3072.0,1535.3156626506025,2302.9734939759037,2.3029734939759035,0.0,8356.792130120482
W5_PV1,风电场景5,光伏场景1,8,8:00-9:00,4.0098,22.324,37.12,59.444,1.0,1,20.0,20.0,1.5,41.5,45.5098,13.934200000000004,0.0,0.0,0.0,0.0,3.0,3348.6,4454.4,2000.0,3000.0,3.0,0.0,12806.0
W5_PV1,风电场景5,光伏场景1,9,9:00-10:00,4.199999999999999,20.928,46.08,67.008,1.0,1,20.0,20.0,1.5,41.5,45.7,21.307999999999993,0.0,0.0,0.0,0.0,3.0,3139.2,5529.599999999999,2000.0,3000.0,3.0,0.0,13671.8
W5_PV1,风电场景5,光伏场景1,10,10:00-11:00,4.1202,15.995999999999999,52.48,68.476,1.0,1,20.0,20.0,1.5,41.5,45.6202,22.855800000000002,0.0,0.0,0.0,0.0,3.0,2399.3999999999996,6297.599999999999,2000.0,3000.0,3.0,0.0,13700.0
W5_PV1,风电场景5,光伏场景1,11,11:00-12:00,3.9000000000000004,14.328000000000001,55.04,69.368,1.0,1,20.0,20.0,1.5,41.5,45.4,23.96799999999999,0.0,0.0,0.0,0.0,3.0,2149.2000000000003,6604.8,2000.0,3000.0,3.0,0.0,13757.0
W5_PV1,风电场景5,光伏场景1,12,12:00-13:00,3.2598000000000003,12.74,56.32,69.06,1.0,1,20.0,20.0,1.5,41.5,44.7598,24.300200000000004,0.0,0.0,0.0,0.0,3.0,1911.0,6758.4,2000.0,3000.0,3.0,0.0,13672.4
W5_PV1,风电场景5,光伏场景1,13,13:00-14:00,2.6898,12.812,56.32,69.132,1.0,1,20.0,20.0,1.5,41.5,44.1898,24.9422,0.0,0.0,0.0,0.0,3.0,1921.8,6758.4,2000.0,3000.0,3.0,0.0,13683.199999999999
