mode,scenario_count,annual_days,annual_total_cost_yuan,annual_total_production_ton,annual_avg_ton_cost_yuan_per_ton,annual_capacity_utilization_rate,annual_total_curtailment_mwh,annual_total_unserved_load_mwh,annual_total_renewable_generation_mwh,annual_total_load_mwh,annual_renewable_utilization_ratio,annual_energy_self_sufficiency_ratio,mean_daily_production_ton,mean_ton_cost_yuan_per_ton,mean_curtailment_mwh,mean_unserved_load_mwh,mean_renewable_utilization_ratio,mean_energy_self_sufficiency_ratio,mean_storage_charge_mwh,mean_storage_discharge_mwh,all_satisfied_days,partially_satisfied_days,none_satisfied_days,storage_capacity_mwh,cost_increase_yuan_per_ton,production_gain_ton,curtailment_reduction_mwh,capacity_utilization_gain,production_gain_per_100yuan,curtailment_reduction_per_100yuan,utilization_gain_pp_per_100yuan
offgrid_with_storage,23,360.0,40478008.73588266,9652.088423258248,4193.704715587192,0.3723799546010127,14651.386434782615,8.652521739130428,170022.49043478264,155379.75652173912,0.9138267743442883,0.999944313712849,26.81135673127292,4332.717136185154,40.698295652173925,0.02403478260869563,0.934773581761582,0.9999059365519826,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
offgrid_with_storage,23,360.0,42350886.60166962,9944.090957468354,4258.899760954283,0.38364548447022967,10031.55491884981,0.0,170022.49043478264,159419.1249116456,0.9409986590997634,1.0,27.622474881856547,4393.246219718751,27.865430330138363,0.0,0.9643961137858471,1.0,8.097186890569953,6.50882410088324,360.0,0.0,0.0,20.0,65.19504536709064,292.0025342101053,4619.831515932805,0.011265529869216973,447.89068335782343,7086.169646665846,1.7279733154236934
offgrid_with_storage,23,360.0,43924765.50559572,10065.67592726657,4363.816779219904,0.38833626262602505,7935.243405130211,0.0,170022.49043478264,161101.05032718755,0.9533282721313037,1.0,27.96021090907381,4544.496372608599,22.042342792028364,0.0,0.9720329974229951,1.0,13.920274428679955,11.180839144055414,360.0,0.0,0.0,40.0,170.1120636327114,413.58750400832105,6716.143029652404,0.015956308025012356,243.12649860112035,3948.0698112940504,0.9379880347265428
offgrid_with_storage,23,360.0,45498405.866947934,10187.10474428773,4466.274472387309,0.3930210163691254,5834.584957262796,0.0,170022.49043478264,162780.8156293136,0.9656834519813081,1.0,28.29751317857703,4695.469539538637,16.2071804368411,0.0,0.9796859163248075,1.0,19.755436783867218,15.846853872183322,360.0,0.0,0.0,60.0,272.5697568001169,535.0163210294813,8816.801477519819,0.0206410617681127,196.28601768237402,3234.6954339418617,0.7572763027869367
offgrid_with_storage,23,360.0,47071854.29038473,10308.398893979103,4566.359409886468,0.3977005746133913,3728.799381179188,0.0,170022.49043478264,164458.71803337766,0.9780687874195709,1.0,28.634441372164193,4846.18693391733,10.357776058831078,0.0,0.987357880820958,1.0,25.604841161877243,20.507693883472296,360.0,0.0,0.0,80.0,372.65469429927543,656.3104707208549,10922.587053603427,0.025320620012378614,176.1175910999737,2931.0209211618308,0.6794660150461934
