mode,scenario_count,annual_days,annual_total_cost_yuan,annual_total_production_ton,annual_avg_ton_cost_yuan_per_ton,annual_capacity_utilization_rate,annual_total_curtailment_mwh,annual_total_unserved_load_mwh,annual_total_renewable_generation_mwh,annual_total_load_mwh,annual_renewable_utilization_ratio,annual_energy_self_sufficiency_ratio,mean_daily_production_ton,mean_ton_cost_yuan_per_ton,mean_curtailment_mwh,mean_unserved_load_mwh,mean_renewable_utilization_ratio,mean_energy_self_sufficiency_ratio,mean_storage_charge_mwh,mean_storage_discharge_mwh,all_satisfied_days,partially_satisfied_days,none_satisfied_days,storage_capacity_mwh,cost_increase_yuan_per_ton,production_gain_ton,curtailment_reduction_mwh,capacity_utilization_gain,production_gain_per_100yuan,curtailment_reduction_per_100yuan,utilization_gain_pp_per_100yuan
offgrid_with_storage,23,360.0,41326922.92505815,9901.636425353587,4173.746757580262,0.38200757813864145,14805.566608695659,8.652521739130428,173628.75130434785,158831.8372173913,0.9147286005487449,0.9999455240089725,27.504545625982193,4314.187999883305,41.126573913043494,0.02403478260869563,0.9340099718395523,0.9999059365519826,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
offgrid_with_storage,23,360.0,43217587.25295629,10202.63378811965,4235.924580894059,0.3936201307144927,10031.55491884981,0.0,173628.75130434785,162995.63406898855,0.9422241141315021,1.0,28.34064941144348,4369.580023257605,27.865430330138363,0.0,0.9643961137858471,1.0,8.52546515143952,6.854458716690886,360.0,0.0,0.0,20.0,62.17782331379658,300.9973627660638,4774.011689845849,0.011612552575851254,484.09118673550574,7677.997452166435,1.8676357512943937
offgrid_with_storage,23,360.0,44791466.15688239,10324.218757917866,4338.484800366212,0.398310908870288,7935.243405130211,0.0,173628.75130434785,164677.5594845305,0.9542976416894182,1.0,28.67838543866074,4517.042815389176,22.042342792028364,0.0,0.9720329974229951,1.0,14.348552689549521,11.526473759863062,360.0,0.0,0.0,40.0,164.7380427859498,422.58233256427957,6870.323203565448,0.01630333073164658,256.5177571724318,4170.4533375404435,0.9896518409430236
offgrid_with_storage,23,360.0,46365106.51823462,10445.647574939027,4438.701017395301,0.4029956626133884,5834.584957262796,0.0,173628.75130434785,166357.32478665657,0.9663962050442007,1.0,29.015687708163963,4664.228621560937,16.2071804368411,0.0,0.9796859163248075,1.0,20.183715044736786,16.19248848799097,360.0,0.0,0.0,60.0,264.9542598150392,544.0111495854399,8970.981651432863,0.020988084474746926,205.3226658688961,3385.860509544318,0.7921399146176555
offgrid_with_storage,23,360.0,47938554.94167141,10566.9417246304,4536.653668670455,0.40767522085765434,3728.799381179188,0.0,173628.75130434785,168035.22719072062,0.9785242976571138,1.0,29.352615901751125,4811.158655181353,10.357776058831078,0.0,0.987357880820958,1.0,26.03311942274681,20.853328499279943,360.0,0.0,0.0,80.0,362.9069110901928,665.3052992768135,11076.767227516471,0.025667642719012895,183.32670967279154,3052.2337516916496,0.7072789725030546
