mode,scenario_count,annual_days,annual_total_cost_yuan,annual_total_production_ton,annual_avg_ton_cost_yuan_per_ton,annual_capacity_utilization_rate,annual_total_curtailment_mwh,annual_total_unserved_load_mwh,annual_total_renewable_generation_mwh,annual_total_load_mwh,annual_renewable_utilization_ratio,annual_energy_self_sufficiency_ratio,mean_daily_production_ton,mean_ton_cost_yuan_per_ton,mean_curtailment_mwh,mean_unserved_load_mwh,mean_renewable_utilization_ratio,mean_energy_self_sufficiency_ratio,mean_storage_charge_mwh,mean_storage_discharge_mwh,all_satisfied_days,partially_satisfied_days,none_satisfied_days,storage_capacity_mwh,cost_increase_yuan_per_ton,production_gain_ton,curtailment_reduction_mwh,capacity_utilization_gain,production_gain_per_100yuan,curtailment_reduction_per_100yuan,utilization_gain_pp_per_100yuan
offgrid_with_storage,23,360.0,41246917.73197276,9872.149992666315,4178.1088985290635,0.3808699842849658,14805.56660869566,8.652521739130428,173220.85565217392,158423.9415652174,0.9145278058294255,0.9999453837491123,27.42263886851755,4320.454252193428,41.126573913043494,0.02403478260869563,0.9340099718395524,0.9999059365519826,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
offgrid_with_storage,23,360.0,43137582.059870906,10173.147355432378,4240.337877032302,0.3924825368608171,10031.554918849812,0.0,173220.85565217392,162587.73841681462,0.9420880650826879,1.0,28.258742653978835,4376.573831071456,27.865430330138366,0.0,0.9643961137858471,1.0,8.52546515143952,6.854458716690886,360.0,0.0,0.0,20.0,62.22897850323807,300.9973627660638,4774.011689845849,0.011612552575851254,483.6932406827175,7671.685771922859,1.8661004655969082
offgrid_with_storage,23,360.0,44711460.96379701,10294.732325230594,4343.13972925911,0.3971733150166124,7935.243405130211,0.0,173220.85565217392,164269.66383235657,0.954190023047432,1.0,28.596478681196103,4524.764178706754,22.042342792028364,0.0,0.9720329974229951,1.0,14.348552689549521,11.526473759863062,360.0,0.0,0.0,40.0,165.03083073004655,422.58233256427957,6870.32320356545,0.01630333073164658,256.06265853168344,4163.0543657650005,0.9878960591500129
offgrid_with_storage,23,360.0,46285101.32514924,10416.161142251754,4443.585375940466,0.40185806875971275,5834.584957262796,0.0,173220.85565217392,165949.42913448263,0.9663170757626404,1.0,28.93378095069932,4672.677540382244,16.2071804368411,0.0,0.9796859163248075,1.0,20.183715044736786,16.19248848799097,360.0,0.0,0.0,60.0,265.4764774114028,544.0111495854399,8970.981651432865,0.020988084474746926,204.9187765673108,3379.200198415598,0.790581699719564
offgrid_with_storage,23,360.0,47858549.74858602,10537.455291943128,4541.75590051408,0.4065376270039787,3728.799381179188,0.0,173220.85565217392,167627.33153854666,0.9784737272706551,1.0,29.27070914428648,4820.335129506386,10.357776058831078,0.0,0.987357880820958,1.0,26.03311942274681,20.853328499279943,360.0,0.0,0.0,80.0,363.6470019850167,665.3052992768135,11076.767227516473,0.025667642719012895,182.9536049094737,3046.0218747995805,0.7058395251137112
