mode,scenario_count,annual_days,annual_total_cost_yuan,annual_total_production_ton,annual_avg_ton_cost_yuan_per_ton,annual_capacity_utilization_rate,annual_total_curtailment_mwh,annual_total_unserved_load_mwh,annual_total_renewable_generation_mwh,annual_total_load_mwh,annual_renewable_utilization_ratio,annual_energy_self_sufficiency_ratio,mean_daily_production_ton,mean_ton_cost_yuan_per_ton,mean_curtailment_mwh,mean_unserved_load_mwh,mean_renewable_utilization_ratio,mean_energy_self_sufficiency_ratio,mean_storage_charge_mwh,mean_storage_discharge_mwh,all_satisfied_days,partially_satisfied_days,none_satisfied_days,storage_capacity_mwh,cost_increase_yuan_per_ton,production_gain_ton,curtailment_reduction_mwh,capacity_utilization_gain,production_gain_per_100yuan,curtailment_reduction_per_100yuan,utilization_gain_pp_per_100yuan
offgrid_with_storage,24,360,40877061.2200482,9781.55739759036,4178.993135604159,0.37737489959839354,14188.668000000005,8.291999999999993,171351.12,157170.74399999998,0.9171953588631343,0.9999472420897875,27.170992771084332,4315.646772943976,39.412966666666684,0.023033333333333312,0.9367595563462375,0.9999098558623166,0.0,0.0,360,0,0,0.0,0.0,0.0,0.0,0.0,,,
offgrid_with_storage,24,360,42744480.65396027,10069.996895815631,4244.736229434372,0.3885029666595537,9612.905203897824,0.0,171351.12,161160.82372544956,0.9438993733808227,1.0,27.972213599487862,4376.647796215938,26.70251445527173,0.0,0.9658820220056841,1.0,8.172093714573736,6.568229629427606,360,0,0,20.0,65.74309383021318,288.43949822527065,4575.762796102181,0.011128067061160152,438.7373356206643,6960.066114198178,1.6926594738451584
offgrid_with_storage,24,360,44308342.82101984,10186.522655336401,4349.702476517646,0.39299855923365745,7604.574000724735,0.0,171351.12,162772.76339882019,0.9556199340819906,1.0,28.29589626482333,4525.879105221362,21.12381666867982,0.0,0.9731983977283131,1.0,13.750791501165443,11.045839833235055,360,0,0,40.0,170.7093409134868,404.96525774604015,6584.09399927527,0.015623659635263909,237.22501392075029,3856.9031806009957,0.9152199611140065
offgrid_with_storage,24,360,45871978.587176554,10302.896667143283,4452.338023874952,0.39748829734349084,5591.47725071018,0.0,171351.12,164382.60389548205,0.9673683063716759,1.0,28.619157408731336,4674.845589961722,15.53188125197272,0.0,0.9805323364779405,1.0,19.342726917872753,15.51761899062899,360,0,0,60.0,273.3448882707935,521.3392695529219,8597.190749289824,0.020113397745097295,190.72581633077726,3145.1807288866803,0.7358249086835543
offgrid_with_storage,24,360,47435430.79152479,10419.141642730641,4552.719640261359,0.40197305720411425,3573.432740296722,0.0,171351.12,165990.6593911072,0.9791455536427381,1.0,28.94206011869623,4823.567078374999,9.926202056379783,0.0,0.9878846357867515,1.0,24.94840611346569,19.98443981180995,360,0,0,80.0,373.72650465720017,637.5842451402805,10615.235259703284,0.024598157605720705,170.60182705668768,2840.3752817692407,0.6581860611754928
offgrid_with_storage,24,360,50397703.688685626,10568.41363866554,4768.710367684784,0.4077320076645656,971.3321567226343,0.0,171351.12,168055.5886682066,0.9943313346494459,1.0,29.35670455184872,5131.679439111698,2.698144879785095,0.0,0.9968347580020077,1.0,32.176463290060376,25.720354470419398,360,0,0,120.0,589.7172320806249,786.8562410751783,13217.335843277371,0.030357108066172034,133.42941299154728,2241.3005970071986,0.5147739698747971
offgrid_with_storage,24,360,53174178.47981113,10623.837117564552,5005.1763681407965,0.40987025916529907,0.0,0.0,171351.12,168822.2801263096,1.0,1.0,29.510658659901527,5451.357179059466,0.0,0.0,1.0,1.0,34.87460816984548,27.85005296514998,360,0,0,160.0,826.1832325366377,842.2797199741908,14188.668000000005,0.032495359566905524,101.94829510012347,1717.3754490800318,0.39331903973813087
offgrid_with_storage,24,360,57174178.47981113,10623.837117564552,5381.688164748327,0.40987025916529907,0.0,0.0,171351.12,168822.2801263096,1.0,1.0,29.510658659901527,5940.751382363106,0.0,0.0,1.0,1.0,34.87460816984548,27.850052965149985,360,0,0,220.0,1202.695029144168,842.2797199741908,14188.668000000005,0.032495359566905524,70.03269320681844,1179.7394731145262,0.27018785959420705
