mode,scenario_count,annual_days,annual_total_cost_yuan,annual_total_production_ton,annual_avg_ton_cost_yuan_per_ton,annual_capacity_utilization_rate,annual_total_curtailment_mwh,annual_total_unserved_load_mwh,annual_total_renewable_generation_mwh,annual_total_load_mwh,annual_renewable_utilization_ratio,annual_energy_self_sufficiency_ratio,mean_daily_production_ton,mean_ton_cost_yuan_per_ton,mean_curtailment_mwh,mean_unserved_load_mwh,mean_renewable_utilization_ratio,mean_energy_self_sufficiency_ratio,mean_storage_charge_mwh,mean_storage_discharge_mwh,all_satisfied_days,partially_satisfied_days,none_satisfied_days,storage_capacity_mwh,cost_increase_yuan_per_ton,production_gain_ton,curtailment_reduction_mwh,capacity_utilization_gain_pct,delta_capacity_mwh,delta_cost_yuan_per_ton,delta_production_ton,delta_curtailment_reduction_mwh,marginal_production_gain_per_100yuan,marginal_curtailment_reduction_per_100yuan
offgrid_storage_capacity_scan,24,360.0,40877061.2200482,9781.55739759036,4178.993135604159,0.37737489959839354,14188.668000000005,8.291999999999993,171351.12,157170.74399999998,0.9171953588631343,0.9999472420897875,27.170992771084332,4315.646772943976,39.412966666666684,0.023033333333333312,0.9367595563462375,0.9999098558623166,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
offgrid_storage_capacity_scan,24,360.0,41552475.63285166,9972.260324741965,4166.806148226665,0.3847322656150449,11280.739207701976,0.0,171351.12,159808.80115893052,0.9341659441286291,1.0,27.700723124283233,4266.160945530729,31.335386688061046,0.0,0.9595996897768652,1.0,3.7038834662955615,2.977273373608019,360.0,0.0,0.0,5.0,-12.186987377494006,190.70292715160394,2907.9287922980293,0.7357366016651379,5.0,-12.186987377494006,190.70292715160394,2907.9287922980293,,
offgrid_storage_capacity_scan,24,360.0,41962466.95300552,10011.605752147116,4191.3822809099465,0.386250221919256,10616.208086172344,0.0,171351.12,160353.07957136843,0.9380441278342835,1.0,27.81001597818643,4301.946714388378,29.489466906034284,0.0,0.9622270526816384,1.0,5.404641263811182,4.343995868091124,360.0,0.0,0.0,10.0,12.389145305787679,230.04835455675493,3572.459913827661,0.8875322320862467,5.0,24.576132683281685,39.345427405150986,664.5311215296315,160.0960896175351,2703.969457251871
offgrid_storage_capacity_scan,24,360.0,42353478.40985597,10040.845472521058,4218.118735694659,0.38737829755096675,10115.049233995045,0.0,171351.12,160757.56236987462,0.9409688758731484,1.0,27.891237423669608,4339.294717058695,28.097358983319566,0.0,0.9640527453040817,1.0,6.777249186525904,5.448059197275048,360.0,0.0,0.0,15.0,39.125600090500484,259.2880749306969,4073.61876600496,1.0003397952573212,5.0,26.736454784712805,29.239720373941964,501.1588521772992,109.36274315119917,1874.4401836845195
offgrid_storage_capacity_scan,24,360.0,42744503.4231728,10070.013203574505,4244.7316164391905,0.3885035958169176,9613.573463897736,0.0,171351.12,161161.049316114,0.9438954734354946,1.0,27.97225889881807,4376.6449855369465,26.704370733049263,0.0,0.9658796090447702,1.0,8.170237436796207,6.568856270162101,360.0,0.0,0.0,20.0,65.73848083503162,288.4558059841438,4575.09453610227,1.1128696218524081,5.0,26.61288074453114,29.167731053446914,501.4757700973096,109.60005169466965,1884.334788522889
offgrid_storage_capacity_scan,24,360.0,43135496.77243915,10099.161691978523,4271.1957772396545,0.3896281516967023,9111.788876362098,0.0,171351.12,161564.27007236955,0.9468238732471542,1.0,28.053226922162565,4413.978675044047,25.31052465656138,0.0,0.9677076521927109,1.0,9.56408351328409,7.688913926427605,360.0,0.0,0.0,25.0,92.20264163549564,317.6042943881621,5076.8791236379075,1.2253252098308742,5.0,26.464160800464015,29.14848840401828,501.7845875356379,110.14325609564465,1896.0910618667333
offgrid_storage_capacity_scan,24,360.0,43526468.62749237,10128.296124344351,4297.511456331953,0.39075216529106294,8609.615189641961,0.0,171351.12,161967.2963867635,0.949754543829991,1.0,28.13415590095653,4451.295341245976,23.915597749005446,0.0,0.9695370396133142,1.0,10.959010420840022,8.80843146641082,360.0,0.0,0.0,30.0,118.51832072779416,346.7387267539907,5579.052810358044,1.3377265692669393,5.0,26.315679092298524,29.134432365828616,502.1736867201362,110.71130736791444,1908.2680137526872
offgrid_storage_capacity_scan,24,360.0,43917425.15751199,10157.420616051208,4323.678896206357,0.39187579537234596,8107.178723272113,0.0,171351.12,162370.18518870836,0.9526867479869865,1.0,28.215057266808913,4488.594714497296,22.51994089797809,0.0,0.9713673956093934,1.0,12.354667271867385,9.927567027368765,360.0,0.0,0.0,35.0,144.68576060219857,375.86321846084684,6081.4892767278925,1.4500895773952416,5.0,26.16743987440441,29.124491706856134,502.43646636984886,111.30050110612524,1920.0826247481145
offgrid_storage_capacity_scan,24,360.0,44308359.59499088,10186.532132964461,4349.700076202122,0.3929989248828882,7604.6082632497855,0.0,171351.12,162772.89450600836,0.9556197341269214,1.0,28.295922591567955,4525.877684855633,21.123911842360517,0.0,0.973198289197037,1.0,13.750696327484958,11.046204019868767,360.0,0.0,0.0,40.0,170.70694059796278,404.9747353741004,6584.05973675022,1.5624025284494636,5.0,26.021179995764214,29.11151691325358,502.5704600223271,111.87623665795486,1931.389968111118
offgrid_storage_capacity_scan,24,360.0,44699275.93943729,10215.63282601878,4375.575816075745,0.3941216368062801,7101.892317550783,0.0,171351.12,163175.45409325976,0.9585535693169045,1.0,28.37675785005216,4563.144200168608,19.727478659863287,0.0,0.9750297549812567,1.0,15.147129509982179,12.164425095567099,360.0,0.0,0.0,45.0,196.58268047158617,434.0754284284194,7086.775682449222,1.6746737207886553,5.0,25.875739873623388,29.10069305431898,502.7159456990021,112.46323079628333,1942.808005314078
