scenario_id,wind_scenario,pv_scenario,production_ton,total_cost_yuan,ton_cost_yuan_per_ton,grid_purchase_cost_yuan,wind_generation_cost_yuan,pv_generation_cost_yuan,alk_om_cost_yuan,pem_om_cost_yuan,ammonia_om_cost_yuan,ammonia_capex_daily_yuan,grid_export_revenue_yuan,on_hours,selected_hours,selected_times,avg_power_ratio,mean_running_power_ratio,min_running_power_ratio,max_running_power_ratio,utilization_rate,total_ammonia_output_ton,simultaneous_buy_sell_violation,pass_count,satisfaction_type,total_load_mwh,renewable_generation_mwh,grid_purchase_mwh,grid_export_mwh,renewable_self_used_mwh,renewable_self_use_ratio,green_power_ratio,renewable_export_ratio,renewable_self_use_pass,green_power_pass,renewable_export_pass,mode,target_production_ton
W1_PV1,风电场景1,光伏场景1,48.3213642697669,162300.74132658594,3358.7781259754747,79851.17247999998,37848.600000000006,61132.799999999996,32214.24284651127,48321.364269766906,48.3213642697669,3333.3333333333335,100449.09296729535,17,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,23",0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;7:00-8:00;8:00-9:00;9:00-10:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;16:00-17:00;17:00-18:00;23:00-24:00,0.6711300593023181,0.9474777307797432,0.487791302773709,1.0,0.6711300593023181,48.3213642697669,0,2,部分满足,729.165539065109,761.7640000000001,233.21019999999993,265.808660934891,495.9553390651091,0.6510616661657798,0.6801683739758085,0.34893833383422024,True,True,False,grid_connected_same_production,48.3213642697669
W1_PV2,风电场景1,光伏场景2,31.854422912086303,114939.29903199348,3608.2681312171208,84672.16447999998,37848.600000000006,30105.6,21236.281941390866,31854.4229120863,31.854422912086292,3333.3333333333335,94142.95805772908,11,"0,1,2,3,4,5,6,11,13,15,23",0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;11:00-12:00;13:00-14:00;15:00-16:00;23:00-24:00,0.442422540445643,0.9652855427904938,0.7941156626506025,0.9999999999999999,0.442422540445643,31.854422912086292,0,1,部分满足,501.37285028386043,503.20400000000006,247.2901999999999,249.12134971613938,254.0826502838607,0.504929710979763,0.5067738513164557,0.49507028902023703,False,True,False,grid_connected_same_production,31.854422912086303
W1_PV3,风电场景1,光伏场景3,19.93972641685403,76920.6976521499,3857.6606340562817,71293.46043097635,37848.600000000006,10214.4,13293.15094456935,19939.726416854024,19.939726416854022,3333.3333333333335,79021.9132,7,"0,1,2,3,4,6,23",0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;6:00-7:00;23:00-24:00,0.2769406446785281,0.9495107817549535,0.6465754722846753,1.0,0.2769406446785281,19.939726416854022,0,1,部分满足,336.552882099814,337.44399999999996,208.21688209981414,209.108,128.33599999999996,0.38031791941774035,0.381324917496735,0.6196820805822597,False,True,False,grid_connected_same_production,19.93972641685403
W1_PV4,风电场景1,光伏场景4,15.247897485631457,62688.605808814274,4111.295073165831,57320.24192323313,37848.600000000006,2457.6,10165.264990420965,15247.897485631449,15.247897485631446,3333.3333333333335,63699.57982129023,6,"0,1,3,4,6,23",0:00-1:00;1:00-2:00;3:00-4:00;4:00-5:00;6:00-7:00;23:00-24:00,0.21177635396710345,0.8471054158684138,0.099999998642449,0.9999999999999999,0.21177635396710345,15.247897485631446,0,1,部分满足,271.649248551235,272.804,167.4072486075734,168.56200005633826,104.24199994366171,0.3821131652895915,0.3837374868497047,0.6178868347104085,False,True,False,grid_connected_same_production,15.247897485631457
W2_PV1,风电场景2,光伏场景1,41.94770508229752,140764.33225888133,3355.70997227893,90175.61435999998,22419.6,61132.799999999996,27965.13672153168,41947.705082297514,41.94770508229751,3333.3333333333335,106251.80494336344,14,"0,1,2,3,4,5,6,9,11,12,13,14,15,23",0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;9:00-10:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;23:00-24:00,0.5826070150319098,0.9987548829118456,0.9825683607658385,1.0,0.5826070150319098,41.9477050822975,0,1,部分满足,640.9965869717822,658.904,263.2563999999999,281.16381302821765,377.74018697178235,0.5732856181959471,0.5893014013636412,0.42671438180405286,False,True,False,grid_connected_same_production,41.94770508229752
W2_PV2,风电场景2,光伏场景2,24.505604190638763,86678.88868230827,3537.1047376754723,94996.60635999998,22419.6,30105.6,16337.069460425839,24505.604190638755,24.505604190638756,3333.3333333333335,105043.43026628028,9,"0,1,2,3,4,5,6,10,23",0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;10:00-11:00;23:00-24:00,0.34035561375887163,0.9076149700236577,0.1685347302129204,0.9999999999999999,0.34035561375887163,24.505604190638756,0,1,部分满足,399.7141913038362,400.34400000000005,277.3363999999999,277.9662086961637,122.37779130383637,0.30568159209039314,0.3061632385496489,0.6943184079096069,False,True,False,grid_connected_same_production,24.505604190638763
W2_PV3,风电场景2,光伏场景3,12.522675216764387,51467.267344234504,4109.9259106659665,50006.54747999948,22419.6,10214.4,8348.450144509508,12522.67521676426,12.52267521676426,3333.3333333333335,55390.261505588845,5,"0,1,6,13,23",0:00-1:00;1:00-2:00;6:00-7:00;13:00-14:00;23:00-24:00,0.17392604467728137,0.8348450144509508,0.17422507225479042,0.9999999999999999,0.17392604467728137,12.52267521676426,0,1,部分满足,233.95034049857227,234.584,145.94019999999847,146.5738595014259,88.01014049857412,0.3751753764049301,0.3761915469369074,0.62482462359507,False,True,False,grid_connected_same_production,12.522675216764387
W2_PV4,风电场景2,光伏场景4,7.788153725449619,37297.71662185776,4789.031898533118,32590.825685716252,22419.6,2457.6,5192.102483633073,7788.153725449609,7.788153725449609,3333.3333333333335,36491.68675999995,3,"0,6,23",0:00-1:00;6:00-7:00;23:00-24:00,0.10816880174235567,0.8653504139388454,0.5960512418165369,0.9999999999999998,0.10816880174235567,7.788153725449609,0,1,部分满足,168.45612653538626,169.94400000000002,95.07652653538625,96.56439999999988,73.37960000000014,0.4317869415807568,0.4356006605944715,0.5682130584192432,False,True,False,grid_connected_same_production,7.788153725449619
W3_PV1,风电场景3,光伏场景1,50.21904768784948,171389.26777123375,3412.833887981142,76466.89087999998,40710.0,61132.799999999996,33479.36512523299,50219.04768784949,50.21904768784948,3333.3333333333335,94002.38830286989,17,"0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,23",0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;7:00-8:00;8:00-9:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;23:00-24:00,0.6974867734423539,0.9846872095656761,0.7396825626164956,1.0,0.6974867734423539,50.21904768784948,0,2,部分满足,755.4168263485844,780.8399999999999,223.32619999999997,248.74937365141545,532.0906263485845,0.6814336180889613,0.7043669240471129,0.31856638191103875,True,True,False,grid_connected_same_production,50.21904768784948
W3_PV2,风电场景3,光伏场景2,33.31408379063093,121007.53596014086,3632.323695907025,81287.88287999998,40710.0,30105.6,22209.38919375395,33314.08379063092,33.31408379063092,3333.3333333333335,89986.06732136794,13,"0,1,2,3,4,5,6,9,10,15,16,17,23",0:00-1:00;1:00-2:00;2:00-3:00;3:00-4:00;4:00-5:00;5:00-6:00;6:00-7:00;9:00-10:00;10:00-11:00;15:00-16:00;16:00-17:00;17:00-18:00;23:00-24:00,0.46269560820320715,0.8542072766828441,0.3587235125396246,0.9999999999999999,0.46269560820320715,33.31408379063092,0,1,部分满足,521.5648257703945,522.28,237.40619999999996,238.12137422960552,284.15862577039445,0.5440733433606388,0.5448193814655131,0.45592665663936116,False,True,False,grid_connected_same_production,33.31408379063093
