mode,scenario_id,wind_scenario,pv_scenario,storage_capacity_mwh,total_cost_yuan,ton_cost_yuan_per_ton,total_ammonia_output_ton,capacity_utilization_rate,on_hours,avg_power_ratio,mean_running_power_ratio,base_load_mwh,hydrogen_ammonia_load_mwh,unserved_load_mwh,energy_self_sufficiency_ratio,renewable_utilization_ratio,ammonia_capex_daily_yuan,storage_capex_daily_yuan,wind_generation_cost_yuan,pv_generation_cost_yuan,alk_om_cost_yuan,pem_om_cost_yuan,ammonia_om_cost_yuan,storage_om_cost_yuan,storage_charge_mwh,storage_discharge_mwh,soc_max_mwh,soc_min_mwh,total_load_mwh,renewable_generation_mwh,grid_purchase_mwh,grid_export_mwh,curtailment_mwh,renewable_self_used_mwh,renewable_self_use_ratio,green_power_ratio,renewable_export_ratio,renewable_self_use_pass,green_power_pass,renewable_export_pass,pass_count,satisfaction_type
offgrid_no_storage,W1_PV1,风电场景1,光伏场景1,0.0,168995.46476947793,4226.529873683017,39.98444819277108,0.5553395582329317,19,0.5553395582329318,0.7014815472415981,60.72,553.1182,0.0,1.0,0.8058115111766899,3333.3333333333335,0.0,37848.600000000006,61132.799999999996,26656.298795180723,39984.44819277109,39.98444819277108,0.0,0.0,0.0,0.0,0.0,613.8381999999999,761.7639999999999,0.0,0.0,147.92579999999998,613.8381999999999,0.8058115111766899,1.0,0.0,True,True,True,3,全满足
offgrid_no_storage,W1_PV2,风电场景1,光伏场景2,0.0,122213.49227309237,4002.1115266941056,30.537253012048193,0.4241285140562249,19,0.4241285140562249,0.5357412809131262,60.72,422.432,0.0,1.0,0.9601513501482499,3333.3333333333335,0.0,37848.600000000006,30105.6,20358.168674698798,30537.25301204819,30.537253012048193,0.0,0.0,0.0,0.0,0.0,483.152,503.204,0.0,0.0,20.052,483.152,0.9601513501482499,1.0,0.0,True,True,True,3,全满足
offgrid_no_storage,W1_PV3,风电场景1,光伏场景3,0.0,83237.37831164658,4359.536608349384,19.09317108433735,0.26518293172690766,19,0.26518293172690766,0.3349679137603044,60.72,264.1222,0.0,1.0,0.962655136852337,3333.3333333333335,0.0,37848.600000000006,10214.4,12728.780722891566,19093.171084337348,19.09317108433735,0.0,0.0,0.0,0.0,0.0,324.84219999999993,337.44399999999996,0.0,0.0,12.601799999999999,324.84219999999993,0.962655136852337,1.0,0.0,True,True,True,3,全满足
offgrid_no_storage,W1_PV4,风电场景1,光伏场景4,0.0,66836.57574297188,4804.971578376007,13.909879518072287,0.19319277108433733,17,0.19319277108433738,0.27274273564847623,60.72,192.42,0.0,1.0,0.9279189454700079,3333.3333333333335,0.0,37848.600000000006,2457.6,9273.253012048193,13909.879518072288,13.909879518072291,0.0,0.0,0.0,0.0,0.0,253.14,272.804,0.0,0.0,19.664,253.14,0.9279189454700079,1.0,0.0,True,True,True,3,全满足
offgrid_no_storage,W2_PV1,风电场景2,光伏场景1,0.0,147081.82933333333,4074.7403959810867,36.096000000000004,0.5013333333333334,18,0.5013333333333333,0.6684444444444444,60.72,499.328,0.13819999999999988,0.9997532354369626,0.8497592972572636,3333.3333333333335,0.0,22419.6,61132.799999999996,24064.0,36096.0,36.096000000000004,0.0,0.0,0.0,0.0,0.0,560.048,658.904,0.0,0.0,98.99419999999998,559.9098,0.8497592972572636,0.9997532354369626,0.0,True,True,True,3,全满足
offgrid_no_storage,W2_PV2,风电场景2,光伏场景2,0.0,95687.23550200801,4006.518023017266,23.88289156626506,0.33170682730923695,18,0.33170682730923695,0.44227576974564925,60.72,330.38,0.13819999999999988,0.9996466376885708,0.9765646543972184,3333.3333333333335,0.0,22419.6,30105.6,15921.927710843374,23882.89156626506,23.882891566265062,0.0,0.0,0.0,0.0,0.0,391.1,400.34400000000005,0.0,0.0,9.382200000000001,390.96180000000004,0.9765646543972184,0.9996466376885708,0.0,True,True,True,3,全满足
offgrid_no_storage,W2_PV3,风电场景2,光伏场景3,0.0,55338.20189718875,4764.147482235768,11.615551807228915,0.16132710843373493,17,0.16132710843373496,0.22775591778880228,60.72,160.6818,0.13819999999999988,0.9993757954994043,0.9432169286907888,3333.3333333333335,0.0,22419.6,10214.4,7743.701204819278,11615.551807228916,11.615551807228915,0.0,0.0,0.0,0.0,0.0,221.40179999999998,234.584,0.0,0.0,13.3204,221.2636,0.9432169286907888,0.9993757954994044,0.0,True,True,True,3,全满足
offgrid_no_storage,W2_PV4,风电场景2,光伏场景4,0.0,38630.97462008032,6182.424227723415,6.248515662650603,0.08678493975903616,11,0.08678493975903616,0.18934895947426067,60.72,86.4378,0.13819999999999988,0.9990608720706615,0.8651061526149791,3333.3333333333335,0.0,22419.6,2457.6,4165.677108433736,6248.515662650602,6.248515662650603,0.0,0.0,0.0,0.0,0.0,147.1578,169.94400000000002,0.0,0.0,22.924400000000002,147.01960000000003,0.8651061526149791,0.9990608720706616,0.0,True,True,True,3,全满足
offgrid_no_storage,W3_PV1,风电场景3,光伏场景1,0.0,176755.41659598393,4118.078625183864,42.92181686746988,0.596136345381526,24,0.5961363453815262,0.5961363453815262,60.72,593.7518,0.0,1.0,0.8381637723477281,3333.3333333333335,0.0,40710.0,61132.799999999996,28614.544578313253,42921.81686746988,42.92181686746988,0.0,0.0,0.0,0.0,0.0,654.4718,780.8399999999999,0.0,0.0,126.36819999999997,654.4717999999999,0.8381637723477281,0.9999999999999998,0.0,True,True,True,3,全满足
offgrid_no_storage,W3_PV2,风电场景3,光伏场景2,0.0,129342.70443694778,3908.0590518282424,33.09640481927711,0.45967228915662656,24,0.4596722891566265,0.4596722891566265,60.72,457.83360000000005,0.0,1.0,0.9928651298154246,3333.3333333333335,0.0,40710.0,30105.6,22064.26987951807,33096.404819277115,33.09640481927711,0.0,0.0,0.0,0.0,0.0,518.5536,522.28,0.0,0.0,3.7264000000000053,518.5536,0.9928651298154246,1.0,0.0,True,True,True,3,全满足
